City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Amahai,ID,78.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
406,Nosy Varika,MG,73.38,broken clouds,-20.5833,48.5333,Hotel Volazara
410,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
411,Amethi,IN,80.85,clear sky,26.15,81.8167,Taj Hotel
412,Dalbandin,PK,74.84,clear sky,28.8947,64.4101,Sanjrani House
413,Lorengau,PG,80.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
416,Havelock,US,75.18,clear sky,34.8791,-76.9013,Sherwood Motel
417,Sokone,SN,79.3,broken clouds,13.8833,-16.3667,Hôtel le Caïman
426,Gazanjyk,TM,77.7,clear sky,39.2446,55.5154,Railway motel
427,Riyadh,SA,80.74,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
430,Vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
433,Virginia Beach,US,71.64,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
440,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
441,Trairi,BR,78.3,scattered clouds,-3.2778,-39.2689,janelas do mar
443,Richards Bay,ZA,75.47,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
447,Atambua,ID,71.01,few clouds,-9.1061,124.8925,Kost Alfa Flat
458,Andrelandia,BR,70.66,broken clouds,-21.7397,-44.3092,Hotel Real
460,Pozo Colorado,PY,89.91,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
462,Korhogo,CI,86.34,broken clouds,9.45,-5.6333,Hôtel Tchinbota
464,Trincomalee,LK,80.64,clear sky,8.5711,81.2335,Welcombe Hotel
469,Sao Jose Da Coroa Grande,BR,79.66,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
470,Japura,ID,73.4,clear sky,-0.3167,102.35,Rumah mbah Jamah
471,Ler,SS,88.95,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
475,Saint George,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
477,Celestun,MX,83.61,scattered clouds,20.8667,-90.4,Posada Lilia
479,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
482,Salalah,OM,78.44,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
483,Boca Do Acre,BR,88.27,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
486,Basco,PH,74.41,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
490,Sur,OM,82.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
492,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
497,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
500,Puri,IN,79.9,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
501,Kalmunai,LK,78.73,clear sky,7.4167,81.8167,VS Villa
503,Bama,NG,88.56,broken clouds,11.5221,13.6856,UN Humanitarian Hub
506,Maputo,MZ,80.28,clear sky,-25.9653,32.5892,Pestana Rovuma
507,Sira,IN,80.62,broken clouds,13.7453,76.9092,Sri Venkateshwara Lodge
