City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Sambava,MG,-14.2667,50.1667,77.65,87,100,8.7,light rain
112,La Trinitaria,MX,16.1167,-92.05,86.0,21,100,10.92,overcast clouds
113,Dasoguz,TM,41.8363,59.9666,64.35,34,0,11.5,clear sky
114,Neiafu,TO,-18.65,-173.9833,81.28,78,40,4.61,scattered clouds
115,Bubaque,GW,11.2833,-15.8333,75.2,71,35,22.77,scattered clouds
116,Sinnamary,GF,5.3833,-52.95,79.23,87,50,11.65,light rain
117,Haines Junction,CA,60.7522,-137.5108,33.75,64,100,0.0,overcast clouds
118,Valparaiso,CL,-33.0393,-71.6273,77.23,53,0,13.8,clear sky
119,Sabang,ID,5.8933,95.3214,80.2,78,100,10.8,overcast clouds
120,Norman Wells,CA,65.282,-126.8329,-3.96,54,75,4.61,broken clouds
121,Vila Velha,BR,-20.3297,-40.2925,84.15,79,40,10.36,scattered clouds
122,Youghal,IE,51.95,-7.8506,49.21,86,99,10.74,overcast clouds
123,Taclobo,PH,12.3074,122.586,79.92,75,26,8.77,scattered clouds
124,Kunming,CN,25.0389,102.7183,48.13,66,0,6.71,clear sky
125,Upata,VE,8.0086,-62.3989,82.71,56,100,5.75,overcast clouds
126,Atikokan,CA,48.7555,-91.6216,34.7,80,100,1.97,overcast clouds
127,Ixtapa,MX,20.7,-105.2,78.03,57,0,8.05,clear sky
128,Butaritari,KI,3.0707,172.7902,81.46,72,98,14.5,overcast clouds
129,Ribeira Grande,PT,38.5167,-28.7,64.8,63,20,10.36,few clouds
130,Sabha,LY,27.0377,14.4283,81.61,8,0,8.97,clear sky
131,Axim,GH,4.8699,-2.2405,81.97,86,100,10.85,overcast clouds
132,Kapaa,US,22.0752,-159.319,77.18,77,40,20.71,scattered clouds
133,Laguna,US,38.421,-121.4238,78.78,24,0,9.22,clear sky
134,Caravelas,BR,-17.7125,-39.2481,80.02,68,0,6.64,clear sky
135,Tiksi,RU,71.6872,128.8694,4.77,98,100,8.01,overcast clouds
136,Sungaipenuh,ID,-2.0833,101.3833,62.02,90,87,1.95,overcast clouds
137,Koshekhabl,RU,44.8972,40.5119,49.5,76,100,20.78,moderate rain
138,San-Pedro,CI,4.7485,-6.6363,80.96,82,100,11.79,overcast clouds
139,Honiara,SB,-9.4333,159.95,79.0,88,97,6.06,overcast clouds
140,Charleston,US,32.7766,-79.9309,78.03,32,0,11.5,clear sky
141,Pacific Grove,US,36.6177,-121.9166,64.2,78,20,12.66,few clouds
142,Vestmannaeyjar,IS,63.4427,-20.2734,42.98,81,100,18.9,overcast clouds
143,Buckingham,GB,51.9997,-0.9878,44.33,65,85,5.99,overcast clouds
144,Maningrida,AU,-12.0667,134.2667,77.02,84,88,2.06,overcast clouds
145,Te Anau,NZ,-45.4167,167.7167,46.22,75,69,0.94,broken clouds
146,Longyearbyen,SJ,78.2186,15.6401,6.64,56,20,18.41,few clouds
147,Sharan,RU,54.8167,54.0,39.76,95,100,9.42,overcast clouds
148,Port-Gentil,GA,-0.7193,8.7815,81.12,80,30,7.4,scattered clouds
