City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Nanakuli,US,2022-03-29 06:59:13,21.3906,-158.1547,75.11,69,100,4.9
117,Puerto El Triunfo,SV,2022-03-29 06:55:45,13.2833,-88.55,79.95,70,95,3.31
118,Luwuk,ID,2022-03-29 06:59:14,-0.9516,122.7875,82.87,80,98,2.48
119,Ahipara,NZ,2022-03-29 06:59:14,-35.1667,173.1667,64.67,85,0,10.29
120,Karratha,AU,2022-03-29 06:59:14,-20.7377,116.8463,89.6,51,17,12.21
121,Chardara,KZ,2022-03-29 06:59:15,41.2547,67.9692,49.24,38,89,23.51
122,Smithers,CA,2022-03-29 06:58:32,54.7804,-127.1743,37.72,65,100,2.3
123,Ribeira Grande,PT,2022-03-29 06:59:15,38.5167,-28.7,61.2,88,75,10.36
124,Lakatoro,VU,2022-03-29 06:59:15,-16.0999,167.4164,82.44,81,100,2.68
125,Khatanga,RU,2022-03-29 06:59:16,71.9667,102.5,2.43,86,100,7.83
126,Komsomolskiy,UZ,2022-03-29 06:59:16,40.4272,71.7189,50.72,53,75,34.52
127,Georgetown,MY,2022-03-29 06:59:09,5.4112,100.3354,91.33,74,20,9.22
128,Arequipa,PE,2022-03-29 06:59:16,-16.3989,-71.535,59.31,78,91,2.13
129,Torbay,CA,2022-03-29 06:59:17,47.6666,-52.7314,37.76,96,100,10.36
130,Kruisfontein,ZA,2022-03-29 06:59:17,-34.0033,24.7314,71.87,64,100,3.24
131,Talcahuano,CL,2022-03-29 06:55:15,-36.7167,-73.1167,55.6,88,47,10.47
132,Imbituba,BR,2022-03-29 06:59:17,-28.24,-48.6703,66.79,87,0,7.47
133,Roebourne,AU,2022-03-29 06:59:18,-20.7833,117.1333,91.02,46,67,12.53
134,Airai,TL,2022-03-29 06:59:18,-8.9266,125.4092,68.97,82,100,0.92
135,Charters Towers,AU,2022-03-29 07:00:18,-20.1,146.2667,91.09,20,0,13.69
136,Altay,CN,2022-03-29 07:00:19,47.8667,88.1167,35.55,63,20,1.34
137,East London,ZA,2022-03-29 06:56:54,-33.0153,27.9116,79.74,50,0,6.91
138,Lagoa,PT,2022-03-29 07:00:20,39.05,-27.9833,59.0,92,100,16.13
139,Usolye,RU,2022-03-29 07:00:20,59.4268,56.6808,21.27,72,100,8.03
140,Borovskoy,KZ,2022-03-29 07:00:20,53.8,64.15,26.64,90,100,12.17
141,Joacaba,BR,2022-03-29 07:00:21,-27.1781,-51.5047,63.3,93,27,6.02
142,Mount Pleasant,US,2022-03-29 07:00:07,32.7941,-79.8626,55.98,63,0,5.75
143,Faanui,PF,2022-03-29 07:00:21,-16.4833,-151.75,82.36,74,17,18.32
144,Noumea,NC,2022-03-29 07:00:17,-22.2763,166.4572,84.18,99,100,11.86
145,Batagay,RU,2022-03-29 07:00:22,67.6333,134.6333,14.11,81,100,2.37
146,Deputatskiy,RU,2022-03-29 07:00:22,69.3,139.9,-3.5,95,12,2.75
147,Asau,RO,2022-03-29 07:00:23,46.4333,26.4,40.12,46,100,5.26
148,Longyearbyen,SJ,2022-03-29 07:00:23,78.2186,15.6401,10.24,67,20,5.75
149,Matias Romero,MX,2022-03-29 07:00:24,16.8833,-95.0333,67.06,95,29,5.08
150,Mount Gambier,AU,2022-03-29 07:00:24,-37.8333,140.7667,62.49,55,90,9.1
151,Sao Joao Da Barra,BR,2022-03-29 07:00:24,-21.6403,-41.0511,75.49,87,100,3.51
152,Nanortalik,GL,2022-03-29 07:00:25,60.1432,-45.2371,25.81,76,50,4.47
153,Strezhevoy,RU,2022-03-29 07:00:25,60.7333,77.5889,30.92,88,100,11.88
154,Te Anau,NZ,2022-03-29 07:00:25,-45.4167,167.7167,60.37,77,100,1.68
155,Upernavik,GL,2022-03-29 07:00:26,72.7868,-56.1549,21.24,71,100,5.12
156,Vangaindrano,MG,2022-03-29 07:00:26,-23.35,47.6,76.71,82,41,9.62
157,Gorgan,IR,2022-03-29 07:00:26,36.8387,54.4348,54.66,67,52,7.05
158,Ivrea,IT,2022-03-29 07:00:27,45.4672,7.8762,53.98,52,84,1.52
159,Provideniya,RU,2022-03-29 07:00:27,64.3833,-173.3,5.65,79,8,9.01
160,Tazovskiy,RU,2022-03-29 07:00:28,67.4667,78.7,22.44,93,100,14.5
161,Kushmurun,KZ,2022-03-29 07:00:28,52.4503,64.6311,29.34,85,100,15.66
162,Antofagasta,CL,2022-03-29 07:00:28,-23.65,-70.4,63.45,84,51,5.77
163,Saskylakh,RU,2022-03-29 07:00:28,71.9167,114.0833,-1.17,89,100,11.63
164,Hasaki,JP,2022-03-29 07:00:29,35.7333,140.8333,50.4,61,100,8.14
165,Bastia,FR,2022-03-29 07:00:29,42.6667,9.3333,55.02,71,0,4.61
166,Kloulklubed,PW,2022-03-29 07:00:29,7.0419,134.2556,84.7,75,15,11.83
167,Sinjai,ID,2022-03-29 07:00:30,-5.1241,120.253,82.45,77,100,6.44
168,Ostrovnoy,RU,2022-03-29 07:00:30,68.0531,39.5131,21.92,86,100,11.54
169,Odweyne,SO,2022-03-29 07:00:30,9.4092,45.064,82.31,17,22,19.26
170,Wanning,CN,2022-03-29 07:00:31,18.8003,110.3967,78.39,85,48,10.16
171,Chokurdakh,RU,2022-03-29 07:00:31,70.6333,147.9167,-2.02,90,18,4.27
172,Nyurba,RU,2022-03-29 07:00:31,63.2842,118.3319,19.78,73,100,8.88
173,Fortuna,US,2022-03-29 07:00:32,40.5982,-124.1573,52.93,89,82,1.01
174,Broome,US,2022-03-29 07:00:32,42.2506,-75.833,20.62,79,100,8.01
175,Tilichiki,RU,2022-03-29 07:00:32,60.4667,166.1,21.43,81,100,25.72
176,Dakar,SN,2022-03-29 07:00:32,14.6937,-17.4441,65.28,84,19,21.23
177,Tiznit,MA,2022-03-29 07:00:33,29.5833,-9.5,57.99,70,28,3.31
178,Pevek,RU,2022-03-29 07:00:33,69.7008,170.3133,-13.02,95,90,0.72
179,Hamilton,US,2022-03-29 07:00:07,39.1834,-84.5333,33.24,56,100,1.99
180,Daye,CN,2022-03-29 07:00:33,30.0833,114.95,71.89,51,60,5.57
181,Saldanha,ZA,2022-03-29 07:00:34,-33.0117,17.9442,63.09,88,100,22.24
182,Ankang,CN,2022-03-29 07:00:34,32.68,109.0172,65.08,55,99,3.94
183,Tual,ID,2022-03-29 07:01:34,-5.6667,132.75,79.03,83,100,7.11
184,Thompson,CA,2022-03-29 07:00:07,55.7435,-97.8558,15.8,98,100,4.56
185,Pisco,PE,2022-03-29 07:01:35,-13.7,-76.2167,65.01,90,100,1.5
186,Macapa,BR,2022-03-29 06:58:41,0.0389,-51.0664,76.98,100,100,3.44
187,Inta,RU,2022-03-29 07:01:35,66.0317,60.1659,17.65,84,100,9.8
188,Saravan,AM,2022-03-29 07:01:35,39.7196,45.6483,33.75,63,0,2.24
189,Delijan,IR,2022-03-29 07:01:36,33.9905,50.6838,54.95,16,0,0.36
190,Najran,SA,2022-03-29 07:01:36,17.4924,44.1277,68.9,19,5,11.1
191,Saint-Georges,GD,2022-03-29 07:01:36,12.0564,-61.7485,76.84,77,27,13.33
192,Uruzgan,AF,2022-03-29 07:01:37,32.8333,66.0,67.71,8,3,2.91
193,Sabang,ID,2022-03-29 07:01:37,5.8933,95.3214,83.19,71,32,5.79
194,Falam,MM,2022-03-29 07:01:37,22.9167,93.6833,77.52,26,100,2.21
195,Glens Falls,US,2022-03-29 06:59:21,43.3095,-73.644,18.66,66,27,1.99
196,Hagerstown,US,2022-03-29 07:01:38,39.6418,-77.72,24.08,57,75,14.97
197,Nanga Eboko,CM,2022-03-29 07:01:38,4.6833,12.3667,74.55,75,100,4.05
198,Dikson,RU,2022-03-29 07:01:38,73.5069,80.5464,8.87,84,100,9.24
199,Saint George,US,2022-03-29 06:59:04,37.1041,-113.5841,56.62,65,100,7.0
200,Teahupoo,PF,2022-03-29 07:01:39,-17.8333,-149.2667,75.16,74,42,16.53
201,Saint-Francois,FR,2022-03-29 07:01:39,46.4154,3.9054,46.42,75,0,2.3
202,Messini,GR,2022-03-29 07:01:39,37.0511,22.0078,63.18,67,75,3.44
203,Weifang,CN,2022-03-29 07:00:12,36.71,119.1019,66.63,35,100,15.82
204,Klaksvik,FO,2022-03-29 07:01:39,62.2266,-6.589,32.92,60,100,19.91
205,Esperance,AU,2022-03-29 07:01:40,-33.8667,121.9,67.44,66,100,16.8
206,Coria,ES,2022-03-29 07:01:40,39.9879,-6.5377,53.46,85,90,4.09
207,Margate,GB,2022-03-29 07:01:40,51.3813,1.3862,47.3,89,100,4.0
208,Mao,ES,2022-03-29 07:01:41,39.8885,4.2658,55.96,94,20,10.36
209,Taganak,PH,2022-03-29 07:01:41,6.0833,118.3,82.62,72,100,7.67
210,Baruun-Urt,MN,2022-03-29 07:01:42,46.6806,113.2792,31.62,16,58,6.62
211,Achinsk,RU,2022-03-29 07:01:42,56.2694,90.4993,33.6,98,79,6.4
212,Kenai,US,2022-03-29 07:01:42,60.5544,-151.2583,37.09,83,100,12.24
213,Sur,OM,2022-03-29 07:01:42,22.5667,59.5289,83.79,52,0,7.58
214,Eirunepe,BR,2022-03-29 07:01:43,-6.6603,-69.8736,71.26,100,100,2.33
215,Cherskiy,RU,2022-03-29 07:01:43,68.75,161.3,2.12,88,100,6.04
216,Rock Sound,BS,2022-03-29 06:59:55,24.9,-76.2,72.97,53,2,4.23
217,Brigham City,US,2022-03-29 07:01:17,41.5102,-112.0155,54.54,69,100,13.8
218,Bengkulu,ID,2022-03-29 07:01:43,-3.8004,102.2655,84.67,64,100,11.21
219,Cotonou,BJ,2022-03-29 06:58:07,6.3654,2.4183,84.18,84,40,11.5
220,Shache,CN,2022-03-29 07:01:44,38.4167,77.2406,65.53,21,10,15.05
221,Waingapu,ID,2022-03-29 07:01:44,-9.6567,120.2641,83.01,74,66,2.01
222,Axim,GH,2022-03-29 07:01:44,4.8699,-2.2405,81.23,86,17,5.17
223,Madimba,TZ,2022-03-29 07:01:45,-10.4,40.3333,83.17,74,25,10.11
224,Pokosnoye,RU,2022-03-29 07:01:45,55.5258,101.0536,27.73,72,69,2.57
225,Kailua,US,2022-03-29 07:01:45,21.4022,-157.7394,75.15,83,100,1.01
226,Nemuro,JP,2022-03-29 07:01:45,43.3236,145.575,36.95,68,7,17.36
227,Maldonado,UY,2022-03-29 07:01:46,-34.6667,-54.9167,66.22,77,99,10.89
228,Downey,US,2022-03-29 06:59:29,33.94,-118.1326,56.75,92,100,1.05
229,Socorro,US,2022-03-29 07:02:46,31.6546,-106.3033,70.79,21,92,12.37
230,Bathsheba,BB,2022-03-29 07:02:47,13.2167,-59.5167,76.01,75,85,13.33
231,Kushiro,JP,2022-03-29 07:02:47,42.975,144.3747,38.34,69,8,8.95
232,Ucluelet,CA,2022-03-29 07:02:47,48.9329,-125.5528,48.09,91,14,1.01
233,Pangnirtung,CA,2022-03-29 07:02:47,66.1451,-65.7125,10.24,76,34,7.05
234,Basco,PH,2022-03-29 07:02:48,20.4487,121.9702,79.29,81,99,20.02
235,Abnub,EG,2022-03-29 07:02:48,27.2696,31.1511,66.27,25,0,9.19
236,Dickinson,US,2022-03-29 07:00:48,29.4608,-95.0513,71.17,90,100,10.36
237,Yar-Sale,RU,2022-03-29 07:02:48,66.8333,70.8333,32.2,93,100,20.96
238,Labuhan,ID,2022-03-29 07:02:49,-6.8844,112.2051,86.58,66,44,8.81
239,Dunedin,NZ,2022-03-29 07:02:49,-45.8742,170.5036,59.81,73,100,4.9
240,Dong Hoi,VN,2022-03-29 07:02:49,17.4833,106.6,75.09,78,52,6.58
241,Bambous Virieux,MU,2022-03-29 07:02:50,-20.3428,57.7575,84.45,65,40,3.44
242,Portland,US,2022-03-29 06:58:15,45.5234,-122.6762,52.63,86,72,3.0
243,Kamenka,RU,2022-03-29 07:02:50,51.3223,42.7678,36.0,97,38,17.96
244,Santa Fe,AR,2022-03-29 06:57:55,-31.6333,-60.7,69.01,84,0,4.0
245,Tuatapere,NZ,2022-03-29 07:02:50,-46.1333,167.6833,58.28,87,100,1.7
246,Seoul,KR,2022-03-29 07:01:53,37.5683,126.9778,63.79,31,1,8.5
247,Gigmoto,PH,2022-03-29 07:02:51,13.7796,124.39,82.35,78,37,12.35
248,Mizdah,LY,2022-03-29 07:02:51,31.4451,12.9801,58.23,63,5,5.14
249,Puerto Escondido,MX,2022-03-29 07:02:51,15.85,-97.0667,77.88,67,0,5.95
250,Itarema,BR,2022-03-29 07:02:52,-2.9248,-39.9167,73.99,96,92,7.83
251,Kahului,US,2022-03-29 07:02:52,20.8947,-156.47,74.84,80,100,1.99
252,Sitka,US,2022-03-29 07:02:52,57.0531,-135.33,36.57,98,100,4.61
253,Poopo,BO,2022-03-29 07:02:53,-18.3667,-66.9667,43.32,58,91,3.44
254,Lata,PT,2022-03-29 07:02:53,40.1629,-8.3327,55.92,93,100,2.68
255,Grand Island,US,2022-03-29 07:02:53,40.925,-98.342,40.01,60,0,12.66
256,Nikolskoye,RU,2022-03-29 07:02:53,59.7035,30.7861,23.81,76,100,5.48
257,Abonnema,NG,2022-03-29 07:02:54,4.7084,6.7931,83.32,75,75,4.54
258,Tsiroanomandidy,MG,2022-03-29 07:02:54,-18.7667,46.0333,77.07,67,9,9.26
259,Husavik,IS,2022-03-29 07:02:54,66.0449,-17.3389,22.05,83,25,8.97
260,Alofi,NU,2022-03-29 07:02:55,-19.0595,-169.9187,79.77,80,100,14.32
261,Cidreira,BR,2022-03-29 07:02:55,-30.1811,-50.2056,69.73,82,0,15.88
262,Nchelenge,ZM,2022-03-29 07:02:55,-9.3451,28.734,73.2,79,90,3.09
263,Surt,LY,2022-03-29 07:02:56,31.2089,16.5887,59.9,78,100,5.75
264,Portknockie,GB,2022-03-29 07:02:56,57.7025,-2.8599,43.09,91,100,3.0
265,La Ronge,CA,2022-03-29 07:02:56,55.1001,-105.2842,24.26,97,100,6.08
266,Todos Santos,MX,2022-03-29 07:02:57,23.45,-110.2167,66.6,60,100,6.98
267,Chipinge,ZW,2022-03-29 07:02:57,-20.1883,32.6236,64.87,73,66,5.88
268,Kasangulu,CD,2022-03-29 07:02:57,-4.5911,15.1708,73.18,91,100,2.15
269,Luderitz,NA,2022-03-29 07:02:57,-26.6481,15.1594,62.96,84,97,1.68
270,San Quintin,MX,2022-03-29 07:02:58,30.4833,-115.95,58.3,86,47,12.5
271,Brigantine,US,2022-03-29 07:02:58,39.4101,-74.3646,27.05,51,20,10.36
272,Omboue,GA,2022-03-29 07:02:58,-1.5746,9.2618,76.26,91,100,6.98
273,Kununurra,AU,2022-03-29 07:02:58,-15.7667,128.7333,100.38,32,100,3.44
274,Belmonte,BR,2022-03-29 07:02:59,-15.8631,-38.8828,76.39,84,84,5.23
275,Great Yarmouth,GB,2022-03-29 07:02:59,52.6083,1.7305,43.45,84,98,7.38
276,Fairbanks,US,2022-03-29 07:02:48,64.8378,-147.7164,22.48,94,100,4.07
277,Henties Bay,NA,2022-03-29 07:04:00,-22.116,14.2845,63.16,87,23,7.94
278,Kandrian,PG,2022-03-29 07:04:00,-6.2167,149.55,80.55,79,100,4.92
279,Padang,ID,2022-03-29 07:04:00,-0.9492,100.3543,87.85,60,4,7.58
280,Dunmore Town,BS,2022-03-29 07:04:01,25.5,-76.65,73.29,50,5,2.71
281,Lingao,CN,2022-03-29 07:04:01,19.9103,109.6859,74.75,87,98,14.83
282,Pauini,BR,2022-03-29 07:04:01,-7.7136,-66.9764,72.54,100,100,0.92
283,Rio Branco,BR,2022-03-29 07:04:01,-9.9747,-67.81,72.25,97,77,2.1
284,Cam Ranh,VN,2022-03-29 07:04:02,11.9214,109.1591,87.76,62,40,12.66
285,Creel,MX,2022-03-29 07:04:02,27.75,-107.6333,40.66,25,7,5.08
286,Hobyo,SO,2022-03-29 07:04:02,5.3505,48.5268,85.15,60,14,18.01
287,Spencer,US,2022-03-29 07:04:03,43.1414,-95.1444,37.51,52,100,16.11
288,Petropavlovsk-Kamchatskiy,RU,2022-03-29 07:04:03,53.0452,158.6483,27.63,63,5,23.24
289,Los Llanos De Aridane,ES,2022-03-29 07:04:03,28.6585,-17.9182,58.75,86,40,8.01
290,Ancud,CL,2022-03-29 07:04:04,-41.8697,-73.8203,44.22,72,36,22.01
291,Wonthaggi,AU,2022-03-29 07:04:04,-38.6044,145.5913,64.81,75,100,9.1
292,Stromness,GB,2022-03-29 07:04:04,58.965,-3.296,37.36,89,100,5.99
293,Alta,NO,2022-03-29 07:04:05,69.9689,23.2717,26.19,87,100,21.85
294,Guerrero Negro,MX,2022-03-29 07:04:05,27.9769,-114.0611,61.63,83,96,12.08
295,Qianan,CN,2022-03-29 07:04:05,44.9932,124.0581,42.98,29,100,13.49
